usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-06-04,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.90,0.90,token,not_available,
2026-06-04,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.08,0.08,token,not_available,
2026-06-04,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.04,0.04,token,not_available,
2026-06-04,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,1.26,1.26,token,not_available,
2026-06-04,Claude Sonnet 4.6,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.01,0.01,token,global,
2026-06-04,Claude Sonnet 4.6,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.08,0.08,token,global,
2026-06-04,Claude Sonnet 4.6,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-06-04,Claude Sonnet 4.6,Default,ai-news-agent,message,≤ 200k,output,0.00,0.00,token,global,
2026-06-05,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.15,0.15,token,not_available,
2026-06-05,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.05,0.05,token,not_available,
2026-06-05,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-05,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.35,0.35,token,not_available,
2026-06-06,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.06,0.06,token,not_available,
2026-06-06,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.02,0.02,token,not_available,
2026-06-06,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-06,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.14,0.14,token,not_available,
2026-06-07,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.04,0.04,token,not_available,
2026-06-07,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.01,0.01,token,not_available,
2026-06-07,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-07,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.07,0.07,token,not_available,
2026-06-08,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.08,0.08,token,not_available,
2026-06-08,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.04,0.04,token,not_available,
2026-06-08,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-08,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.29,0.29,token,not_available,
2026-06-09,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.11,0.11,token,not_available,
2026-06-09,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.05,0.05,token,not_available,
2026-06-09,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-09,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.38,0.38,token,not_available,
2026-06-10,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.14,0.14,token,not_available,
2026-06-10,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.06,0.06,token,not_available,
2026-06-10,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-10,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.40,0.40,token,not_available,
2026-06-11,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.12,0.12,token,not_available,
2026-06-11,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.05,0.05,token,not_available,
2026-06-11,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-11,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.34,0.34,token,not_available,
2026-06-12,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.12,0.12,token,not_available,
2026-06-12,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.05,0.05,token,not_available,
2026-06-12,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-12,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.35,0.35,token,not_available,
2026-06-13,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.05,0.05,token,not_available,
2026-06-13,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.02,0.02,token,not_available,
2026-06-13,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-13,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.16,0.16,token,not_available,
2026-06-14,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.02,0.02,token,not_available,
2026-06-14,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.01,0.01,token,not_available,
2026-06-14,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-14,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.05,0.05,token,not_available,
2026-06-15,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.07,0.07,token,not_available,
2026-06-15,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.04,0.04,token,not_available,
2026-06-15,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-15,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.26,0.26,token,not_available,
2026-06-16,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_no_cache,0.11,0.11,token,not_available,
2026-06-16,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_read,0.07,0.07,token,not_available,
2026-06-16,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,not_available,
2026-06-16,Claude Haiku 4.5,Default,ai-news-agent,message,≤ 200k,output,0.47,0.47,token,not_available,
